,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Okhotsk,59.38,143.3,31.19,96,99,14.05,RU,1603306297
1,Edmundston,47.37,-68.33,39.99,93,90,13.87,CA,1603306529
2,Campo de Criptana,39.4,-3.12,55.99,76,100,4,ES,1603306530
3,Ushuaia,-54.8,-68.3,55.4,43,75,16.11,AR,1603306261
4,Talnakh,69.49,88.4,12.2,85,100,13.42,RU,1603306530
5,Sicamous,50.83,-118.99,42.01,84,94,2.39,CA,1603306530
6,Yarke Pole,45.61,34.32,51.12,65,22,3.2,UA,1603306531
7,Punta Arenas,-53.15,-70.92,48.2,45,90,13.87,CL,1603306268
8,Tondano,1.3,124.91,73.4,88,20,1.12,ID,1603306531
9,Avarua,-21.21,-159.78,77,78,48,6.93,CK,1603306531
10,Dudinka,69.41,86.18,12.2,85,100,13.42,RU,1603306532
11,Nikolskoye,59.7,30.79,37.4,86,90,6.71,RU,1603306532
12,Thompson,55.74,-97.86,30.2,68,75,5.82,CA,1603306532
13,Yulara,-25.24,130.99,78.8,36,87,5.82,AU,1603306532
14,Busselton,-33.65,115.33,52,68,3,10.89,AU,1603306371
15,Bonthe,7.53,-12.51,78.51,87,100,6.29,SL,1603306417
16,Wetter,50.9,8.72,57.99,84,1,12.01,DE,1603306533
17,Arraial do Cabo,-22.97,-42.03,78.8,74,20,14.99,BR,1603306533
18,San Patricio,28.02,-97.52,89.01,66,20,10.29,US,1603306273
19,Chui,-33.7,-53.46,62.26,65,38,14.34,UY,1603306266
20,Vaini,-21.2,-175.2,71.6,78,75,8.05,TO,1603306534
21,Deniliquin,-35.53,144.97,50.31,88,0,2.24,AU,1603306534
22,Cockburn Town,21.46,-71.14,78.8,83,75,11.41,TC,1603306534
23,Torbay,47.67,-52.73,57.2,71,75,10.29,CA,1603306534
24,Narsaq,60.92,-46.05,32,91,75,2.59,GL,1603306535
25,Tías,28.96,-13.64,73.4,64,40,8.05,ES,1603306535
26,Cherskiy,68.75,161.3,16.11,97,79,5.12,RU,1603306535
27,Chokurdakh,70.63,147.92,8.85,94,100,3.8,RU,1603306535
28,Qaanaaq,77.48,-69.36,18.61,81,100,6.53,GL,1603306535
29,Mason City,43.15,-93.2,42.01,52,90,4.23,US,1603306536
30,Mar del Plata,-38,-57.56,55.4,62,0,18.34,AR,1603306296
31,Atar,20.52,-13.05,95,28,97,6.93,MR,1603306536
32,Acaraú,-2.89,-40.12,84.9,63,81,19.13,BR,1603306536
33,Il’inskiy,55.62,38.12,36,93,90,4.47,RU,1603306536
34,Butaritari,3.07,172.79,82.47,71,35,8.79,KI,1603306537
35,Anadyr,64.75,177.48,37.4,86,20,11.18,RU,1603306537
36,Khatanga,71.97,102.5,4.37,92,0,6.44,RU,1603306537
37,Port Elizabeth,-33.92,25.57,60.8,82,0,3.36,ZA,1603306537
38,Atuona,-9.8,-139.03,77.43,70,0,17.13,PF,1603306537
39,Albany,42.6,-73.97,73,71,1,1.99,US,1603306538
40,Pangnirtung,66.15,-65.71,28.4,86,90,4.7,CA,1603306538
41,Saint-Joseph,-21.37,55.62,75.2,73,20,14.99,RE,1603306538
42,Kalmunai,7.42,81.82,80.08,76,0,1.9,LK,1603306291
43,Kaitangata,-46.28,169.85,45.84,75,100,4.68,NZ,1603306538
44,Pevek,69.7,170.31,29.3,99,100,2.06,RU,1603306539
45,Ozernovskiy,51.5,156.52,42.39,74,88,19.89,RU,1603306539
46,Tiksi,71.69,128.87,10.27,93,100,6.29,RU,1603306539
47,Ruteng,-8.61,120.47,62.06,100,0,1.48,ID,1603306539
48,Hobart,-42.88,147.33,51.8,93,90,3.38,AU,1603306540
49,Saldanha,-33.01,17.94,57.2,71,0,9.17,ZA,1603306540
50,Hong Kong,22.29,114.16,75,65,100,1.99,HK,1603306452
51,Faanui,-16.48,-151.75,78.39,80,30,12.82,PF,1603306540
52,Dikson,73.51,80.55,22.84,96,100,10.2,RU,1603306540
53,Bambous Virieux,-20.34,57.76,75.2,73,40,10.29,MU,1603306540
54,Tuktoyaktuk,69.45,-133.04,23,85,90,9.17,CA,1603306541
55,Naze,28.37,129.48,78.8,83,75,8.05,JP,1603306541
56,Mataura,-46.19,168.86,46,81,99,1.01,NZ,1603305728
57,Jacareacanga,-6.22,-57.75,98.33,35,100,4.76,BR,1603306541
58,Darnah,32.77,22.64,68.77,68,4,13.49,LY,1603306541
59,Maragheh,37.39,46.24,60.8,44,0,16.11,IR,1603306541
60,Hilo,19.73,-155.09,75.99,56,1,6.93,US,1603306389
61,Tigil',57.8,158.67,31.51,96,2,3.87,RU,1603306542
62,Oussouye,12.48,-16.55,89.6,74,20,4.7,SN,1603306542
63,Ocampo,21.65,-101.5,70.97,30,0,9.04,MX,1603306542
64,Abū Zabad,12.35,29.25,85.3,43,64,6.76,SD,1603306542
65,Aasiaat,68.71,-52.87,25.83,96,91,2.39,GL,1603306543
66,Kapaa,22.08,-159.32,75.2,83,75,8.05,US,1603306543
67,Keetmanshoop,-26.58,18.13,80.04,16,0,12.44,NA,1603306543
68,Saint-Philippe,-21.36,55.77,75.2,73,20,14.99,RE,1603306543
69,Boissevain,49.23,-100.06,28.99,86,90,11.41,CA,1603306543
70,Esperantina,-3.9,-42.23,104.58,15,42,7.7,BR,1603306544
71,Puerto Ayora,-0.74,-90.35,78.8,69,40,21.92,EC,1603306544
72,Barrow,71.29,-156.79,33.8,98,90,16.11,US,1603306544
73,Takhtamygda,54.1,123.57,20.44,86,0,9.53,RU,1603306544
74,Ostrovnoy,68.05,39.51,30.69,97,90,7.72,RU,1603306545
75,Lázaro Cárdenas,17.96,-102.2,86.07,70,62,6.69,MX,1603306545
76,Zeya,53.75,127.27,27.64,96,100,6.2,RU,1603306545
77,Esperance,-33.87,121.9,57.2,100,90,9.17,AU,1603306545
78,Alyangula,-13.85,136.42,80.6,88,40,5.82,AU,1603306546
79,Cape Town,-33.93,18.42,60.01,77,0,16.11,ZA,1603306362
80,Bredasdorp,-34.53,20.04,55.4,87,0,3.36,ZA,1603306546
81,Grand Gaube,-20.01,57.66,75,72,34,7,MU,1603306546
82,Salalah,17.02,54.09,82.4,83,40,2.24,OM,1603306528
83,Castro,-24.79,-50.01,78.08,50,11,8.52,BR,1603306546
84,Hithadhoo,-0.6,73.08,82.76,76,4,14.83,MV,1603306547
85,Bonavista,48.65,-53.11,55,65,49,5.99,CA,1603306547
86,Hermanus,-34.42,19.23,54,89,0,5.53,ZA,1603306547
87,New Norfolk,-42.78,147.06,51.8,93,90,2.33,AU,1603306547
88,Jamestown,42.1,-79.24,60.01,93,90,17.22,US,1603306547
89,Mahébourg,-20.41,57.7,75.2,73,40,10.29,MU,1603306548
90,Kahului,20.89,-156.47,77,65,20,3.36,US,1603306548
91,Muros,42.78,-9.06,59,90,2,7,ES,1603306548
92,Moctezuma,29.8,-109.67,89.65,16,0,5.91,MX,1603306548
93,Tazovsky,67.47,78.7,19.09,97,92,10.02,RU,1603306548
94,Tabuk,17.42,121.44,73.58,88,100,4.81,PH,1603306303
95,George Town,5.41,100.34,82,88,40,3.36,MY,1603306549
96,Carnarvon,-24.87,113.63,66.2,68,40,17.22,AU,1603306549
97,Lavrentiya,65.58,-171,35.74,85,0,5.12,RU,1603306549
98,Kieta,-6.22,155.63,78.49,80,100,4.63,PG,1603306549
99,Saint Stephen,50.33,-4.9,55.4,93,91,17.22,GB,1603306549
100,Maceió,-9.67,-35.74,84.2,62,40,8.05,BR,1603306550
101,Geraldton,-28.77,114.6,53.6,87,0,10.18,AU,1603306550
102,Bethel,41.37,-73.41,66.99,82,90,5.82,US,1603306550
103,Ancud,-41.87,-73.82,57.2,50,0,9.17,CL,1603306550
104,Yumen,40.28,97.2,38.98,60,0,6.33,CN,1603306550
105,Oodweyne,9.41,45.06,77.31,32,0,7.09,SO,1603306550
106,Songjianghe,42.19,127.48,36.28,91,98,3.98,CN,1603306551
107,Avera,33.19,-82.53,82.4,61,40,11.41,US,1603306260
108,Grammichele,37.21,14.64,64.4,68,3,2.24,IT,1603306551
109,Tuatapere,-46.13,167.68,46.99,81,99,1.01,NZ,1603306551
110,Las Vegas,36.17,-115.14,81,12,1,4.21,US,1603306046
111,Rikitea,-23.12,-134.97,73.87,66,5,8.52,PF,1603305720
112,Jiuquan,39.74,98.52,41.2,54,0,3.15,CN,1603306432
113,Kumul,42.8,93.45,49.77,42,0,5.73,CN,1603306552
114,Robe,-37.18,139.75,49.21,82,83,12.5,AU,1603306552
115,Borogontsy,62.67,131.17,14.22,97,100,3.36,RU,1603306553
116,Esso,55.93,158.7,23.31,92,77,6.93,RU,1603306553
117,Lebu,-37.62,-73.65,52.86,68,0,17.38,CL,1603306553
118,Vanimo,-2.67,141.3,75.54,81,100,5.75,PG,1603306553
119,Hamadan,34.8,48.51,48.2,24,0,4.7,IR,1603306553
120,Ivankiv,50.94,29.89,48.2,76,100,6.71,UA,1603306554
121,Wanning,18.8,110.4,69.94,82,100,12.75,CN,1603306459
122,Garmsār,35.22,52.34,61.92,51,0,7.07,IR,1603306554
123,Sabinas,27.85,-101.12,85.86,47,2,11.32,MX,1603306554
124,Makokou,0.57,12.86,72.61,85,98,1.25,GA,1603306554
125,Ribeira Grande,38.52,-28.7,64.4,59,40,6.93,PT,1603306554
126,Bundaberg,-24.85,152.35,66,88,100,5.82,AU,1603306555
127,Berlevåg,70.86,29.09,32.59,92,56,9.42,NO,1603306555
128,Todos Santos,23.45,-110.22,82.99,71,0,5.01,MX,1603306555
129,Ternate,0.8,127.4,80.51,79,92,3.44,ID,1603306555
130,Pacific Grove,36.62,-121.92,71.6,68,1,4.7,US,1603306555
131,Hamilton,39.18,-84.53,69.8,73,90,4.7,US,1603306363
132,Dingle,11,122.67,76.32,91,100,6.82,PH,1603306556
133,Cayenne,4.93,-52.33,87.8,62,40,11.41,GF,1603306556
134,Honiara,-9.43,159.95,73.4,100,20,2.24,SB,1603306556
135,Port Lincoln,-34.73,135.87,57.94,79,100,15.79,AU,1603306556
136,Klyuchi,52.27,79.17,50.4,44,50,13.71,RU,1603306556
137,Dunedin,-45.87,170.5,50,75,100,1.01,NZ,1603306557
138,Outjo,-20.12,16.15,69.49,37,89,19.51,NA,1603306557
139,Los Llanos de Aridane,28.66,-17.92,73.4,69,40,4.7,ES,1603306380
140,Ponta do Sol,32.67,-17.1,66.2,59,20,4.7,PT,1603306557
141,Sørland,67.67,12.69,39.2,69,75,17.22,NO,1603306557
142,Margate,51.38,1.39,57.99,87,90,4,GB,1603306356
143,Hanover,52.37,9.73,64,59,32,14.99,DE,1603306527
144,Arkhipo-Osipovka,44.37,38.52,54.41,65,0,5.17,RU,1603306558
145,Diffa,13.32,12.61,88.09,12,70,5.75,NE,1603306558
146,Altamont,42.21,-121.74,57.99,58,20,8.05,US,1603306434
147,Husavik,66.04,-17.34,32,81,90,3.36,IS,1603306347
148,Lengshuitan,26.41,111.6,57.15,80,0,1.88,CN,1603306559
149,Saint Paul Harbor,57.79,-152.41,39.2,64,1,10.29,US,1603306559
150,Quatre Cocos,-20.21,57.76,75.2,73,40,10.29,MU,1603306506
151,Rakai,-0.72,31.48,62.17,94,100,3.02,UG,1603306559
152,Omsukchan,62.53,155.8,10.62,89,0,5.99,RU,1603306559
153,Brae,60.4,-1.35,46.4,93,75,29.97,GB,1603306560
154,Konëvo,62.12,39.32,29.73,98,96,4.32,RU,1603306560
155,Kutum,14.2,24.67,79.07,15,0,12.08,SD,1603306560
156,Winnemucca,40.97,-117.74,62.6,36,1,5.77,US,1603306560
157,Siirt,37.93,41.94,58.39,45,0,1.28,TR,1603306560
158,Novo Aripuanã,-5.12,-60.38,88.25,59,100,0.38,BR,1603306561
159,Biak,-0.91,122.88,76.08,72,97,4.72,ID,1603306561
160,Wenling,28.37,121.36,69.01,81,100,14.29,CN,1603306561
161,Bluff,-46.6,168.33,46.99,81,100,1.01,NZ,1603306561
162,Vestmannaeyjar,63.44,-20.27,39.2,86,75,24.16,IS,1603306561
163,Coyhaique,-45.58,-72.07,62.6,42,0,9.17,CL,1603306464
164,Grafton,42.21,-71.69,72,68,75,11.41,US,1603306265
165,Port Alfred,-33.59,26.89,65.59,85,0,14.36,ZA,1603306446
166,Enumclaw,47.2,-121.99,54,78,56,5.99,US,1603306507
167,Careiro da Várzea,-3.2,-59.81,87.8,74,75,4.7,BR,1603306562
168,Upernavik,72.79,-56.15,27.27,95,100,7.49,GL,1603306562
169,Marzuq,14.4,46.47,73.18,26,25,1.48,YE,1603306563
170,Provideniya,64.38,-173.3,35.28,93,6,2.21,RU,1603306563
171,São Paulo de Olivença,-3.38,-68.87,93.83,46,22,4.29,BR,1603306563
172,San Cristobal,7.77,-72.22,95,34,40,19.46,VE,1603306304
173,Tasiilaq,65.61,-37.64,30.2,86,75,3.24,GL,1603306564
174,Turhal,40.39,36.08,53.6,71,20,5.82,TR,1603306564
175,Kiryat Gat,31.61,34.76,77,87,0,7.92,IL,1603306381
176,Povenets,62.85,34.83,30.02,96,98,2.98,RU,1603306564
177,Bengkulu,-3.8,102.27,77.41,84,100,4.81,ID,1603306564
178,Krasnyy Chikoy,50.36,108.75,24.94,86,100,3.36,RU,1603306565
179,Cap Malheureux,-19.98,57.61,75,72,37,7,MU,1603306565
180,Ulaangom,49.98,92.07,26.94,93,12,2.77,MN,1603306565
181,Cancún,21.17,-86.85,86,70,40,5.82,MX,1603306523
182,Hervey Bay,-25.3,152.85,66,88,100,5.82,AU,1603306565
183,Petropavlovsk-Kamchatskiy,53.05,158.65,37.4,44,0,20.13,RU,1603306565
184,Sibolga,1.74,98.78,75.76,87,100,4.34,ID,1603306566
185,Fortuna,40.6,-124.16,59,87,75,13.87,US,1603306566
186,Tilichiki,60.47,166.1,37.4,98,100,7.05,RU,1603306566
187,Namikupa,-10.83,39.6,71.74,81,49,3.36,TZ,1603306566
188,Östersund,63.18,14.64,33.8,100,100,3.36,SE,1603306566
189,Camargo,27.67,-105.17,86.85,23,0,14.05,MX,1603306498
190,Saint George,37.1,-113.58,64.4,17,1,3.36,US,1603306567
191,Touros,-5.2,-35.46,77,94,75,13.87,BR,1603306567
192,Yar-Sale,66.83,70.83,19.98,97,94,11.65,RU,1603306567
193,Boussé,12.66,-1.89,89.6,52,20,4.7,BF,1603306568
194,The Valley,18.22,-63.06,87.8,62,20,6.93,AI,1603306568
195,East London,-33.02,27.91,66.2,77,2,11.41,ZA,1603306568
196,Yining,29.04,114.56,53.6,80,81,0.92,CN,1603306568
197,Bom Jesus,-9.07,-44.36,100.65,16,44,8.77,BR,1603306568
198,Vila Franca do Campo,37.72,-25.43,62.6,72,75,13.87,PT,1603306568
199,Skjold,55.8,9.94,55,100,90,9.17,DK,1603306569
200,Clarence Town,-32.58,151.78,57.99,93,100,3.36,AU,1603306569
201,Montepuez,-13.13,39,77.14,58,4,8.86,MZ,1603306569
202,Vredendal,-31.67,18.5,70.9,29,0,12.24,ZA,1603306569
203,Taoudenni,22.68,-3.98,86.52,13,61,8.84,ML,1603306569
204,Abu Dhabi,24.47,54.37,82.4,69,0,5.82,AE,1603306377
205,Xinpu,34.6,119.16,55.09,41,3,8.57,CN,1603306570
206,Berdigestyakh,62.1,126.7,11.03,96,73,3.42,RU,1603306497
207,Katsuura,35.13,140.3,60.01,72,75,12.75,JP,1603306570
208,Opuwo,-18.06,13.84,67.82,44,0,10.63,NA,1603306570
209,Revda,56.8,59.93,32,96,40,6.71,RU,1603306571
210,‘Ewa Beach,21.32,-158.01,78.8,83,90,2.68,US,1603306333
211,Susanville,40.42,-120.65,64.4,36,1,3.36,US,1603306571
212,Praia da Vitória,38.73,-27.07,62.6,67,75,19.22,PT,1603306571
213,São João do Paraíso,-15.31,-42.01,86.88,38,96,3.18,BR,1603306444
214,Hudson Bay,52.85,-102.38,32.43,76,40,5.14,CA,1603306572
215,Coquimbo,-29.95,-71.34,60.8,67,20,14.99,CL,1603306572
216,Alice Springs,-23.7,133.88,80.6,34,0,9.17,AU,1603306289
217,Kinsale,51.71,-8.53,48.2,81,40,19.46,IE,1603306572
218,Palana,59.12,159.97,33.15,94,100,7.36,RU,1603306572
219,Matamoros,25.53,-103.25,84.2,32,40,5.17,MX,1603306562
220,Cabo San Lucas,22.89,-109.91,93.2,55,5,6.93,MX,1603306573
221,Porto Velho,-8.76,-63.9,89.6,59,75,8.05,BR,1603306573
222,Eskil,38.4,33.41,64.38,54,100,5.68,TR,1603306573
223,Muravlenko,63.79,74.52,20.97,98,88,5.66,RU,1603306573
224,Leningradskiy,69.38,178.42,33.44,89,100,11.14,RU,1603306574
225,Lompoc,34.64,-120.46,60.8,93,90,3.36,US,1603306453
226,Igarka,67.47,86.58,16.99,97,100,4.94,RU,1603306574
227,Abakaliki,6.32,8.12,79.21,79,80,1.43,NG,1603306574
228,Sittwe,20.15,92.9,79.36,89,100,12.35,MM,1603306574
229,Lorengau,-2.02,147.27,81.75,76,92,7.36,PG,1603306575
230,Gornopravdinsk,60.05,69.9,31.46,99,100,3.49,RU,1603306575
231,Eureka,40.8,-124.16,59,93,90,3.36,US,1603306331
232,Togur,58.36,82.83,40.12,91,100,7.78,RU,1603306575
233,Traverse City,44.76,-85.62,48.2,66,90,12.75,US,1603306289
234,Nha Trang,12.25,109.18,82.4,69,75,10.29,VN,1603306357
235,La Ronge,55.1,-105.28,28.4,63,75,6.93,CA,1603306576
236,Galesong,-5.32,119.37,73.4,94,75,2.24,ID,1603306576
237,Kavieng,-2.57,150.8,81.52,76,100,9.73,PG,1603306576
238,Slave Lake,55.28,-114.77,23,73,90,14.99,CA,1603306576
239,Tomohon,1.33,124.84,73.4,88,20,1.12,ID,1603306576
240,Severo-Kuril'sk,50.68,156.12,41.43,72,86,18.39,RU,1603306577
241,Banjar,-8.19,114.97,78.8,88,40,5.82,ID,1603306577
242,Sampit,-2.53,112.95,75.47,95,100,1.28,ID,1603306577
243,Kupang,-10.17,123.58,78.06,81,62,4.76,ID,1603306577
244,Biltine,14.53,20.92,88.52,12,0,10.69,TD,1603306436
245,Mbanza-Ngungu,-5.25,14.87,71.44,88,100,1.68,CD,1603306578
246,Cedar City,37.68,-113.06,73.4,9,1,11.41,US,1603306578
247,Carutapera,-1.2,-46.02,84.76,63,0,11.12,BR,1603306578
248,Newport,51.59,-3,57,98,100,1.99,GB,1603306578
249,Sibay,52.72,58.67,33.66,90,92,10.11,RU,1603306578
250,Kristiansund,63.11,7.73,37.4,86,40,8.05,NO,1603306579
251,Flin Flon,54.77,-101.86,28.4,74,90,5.1,CA,1603306579
252,São Filipe,14.9,-24.5,83.77,62,79,4.9,CV,1603306579
253,Ialibu,-6.28,143.99,53.73,97,100,1.57,PG,1603306579
254,Tura,25.52,90.22,71.22,93,7,2.62,IN,1603306508
255,Cidreira,-30.18,-50.21,67.24,88,100,14.99,BR,1603306580
256,Benguela,-12.58,13.41,75.88,71,3,2.21,AO,1603306306
257,Laas,46.62,10.7,48.99,81,5,9.17,IT,1603306580
258,Mehamn,71.04,27.85,33.8,80,75,5.46,NO,1603306580
259,Liverpool,53.41,-2.98,57.2,76,75,3.36,GB,1603306318
260,Dalvik,65.97,-18.53,32,80,84,3.36,IS,1603306581
261,Merauke,-8.47,140.33,76.82,87,66,10.85,ID,1603306581
262,Wilmington,34.23,-77.94,82,61,40,6.93,US,1603306295
263,Hambantota,6.12,81.12,78.8,100,1,8.05,LK,1603306581
264,Ji’an,27.12,114.98,57.34,91,13,5.19,CN,1603306581
265,Champerico,14.3,-91.92,87.8,66,40,4.7,GT,1603306582
266,Kayes,14,-11,93.2,36,0,4.7,ML,1603306582
267,Lata,40.16,-8.33,61,83,3,3,PT,1603306582
268,Mitsamiouli,-11.38,43.28,80.46,78,0,3.02,KM,1603306514
269,Maniitsoq,65.42,-52.9,32.11,96,98,12.82,GL,1603306582
270,Mount Gambier,-37.83,140.77,42.8,93,100,5.82,AU,1603306582
271,Teluk Nibung,3,99.82,78.13,88,100,5.95,ID,1603306583
272,Ossora,59.24,163.07,39.9,92,100,6.69,RU,1603306583
273,Portales,34.19,-103.33,71.6,56,1,9.17,US,1603306358
274,Fortuna Foothills,32.66,-114.41,93,28,1,6.69,US,1603306583
275,Airai,-8.93,125.41,59.49,86,0,1.25,TL,1603306583
276,Olinda,-8.01,-34.86,82.4,69,40,16.11,BR,1603306505
277,Isangel,-19.55,169.27,71.6,94,75,9.17,VU,1603306584
278,Vostok,46.49,135.88,42.44,95,100,6.44,RU,1603306584
279,Rudnogorsk,57.26,103.75,31.69,99,100,3.69,RU,1603306286
280,Paita,-5.09,-81.11,78.8,69,10,14.99,PE,1603306584
281,Roswell,34.02,-84.36,81,61,75,3.36,US,1603306585
282,Zile,40.3,35.89,53.6,71,20,5.82,TR,1603306585
283,Karoi,-16.81,29.69,74.5,41,7,7.74,ZW,1603306585
284,Itoman,26.12,127.67,77,94,75,3.36,JP,1603306585
285,Birao,10.28,22.79,78.94,43,0,3.31,CF,1603306585
286,Maţāy,28.42,30.78,79.3,31,0,8.25,EG,1603306586
287,Janaúba,-15.8,-43.31,91.24,34,86,2.19,BR,1603306586
288,Norman Wells,65.28,-126.83,23,79,90,18.34,CA,1603306586
289,Belaya Kholunitsa,58.84,50.85,27.37,96,95,6.58,RU,1603306586
290,Morant Bay,17.88,-76.41,84.2,79,20,18.34,JM,1603306587
291,Kasamwa,-2.85,32.43,68.32,83,91,5.61,TZ,1603306587
292,Pedernales,18.04,-71.74,86,74,75,16.11,DO,1603306587
293,Sept-Îles,50.2,-66.38,37,74,75,12.75,CA,1603306382
294,Kyshtovka,56.55,76.63,40.84,69,13,7.07,RU,1603306587
295,Iralaya,15,-83.23,82.99,81,100,8.66,HN,1603306588
296,Maragogi,-9.01,-35.22,79.93,76,0,10.83,BR,1603306588
297,Stolin,51.89,26.85,49.6,76,100,4.83,BY,1603306588
298,Mlowo,-9,32.98,68.22,58,100,6.87,TZ,1603306589
299,Kloulklubed,7.04,134.26,80.6,88,90,5.82,PW,1603306589
300,Itumba,-9.4,33.18,66.88,66,100,7,TZ,1603306589
301,Sur,22.57,59.53,74.88,64,97,2.51,OM,1603306589
302,Neuquén,-38.95,-68.06,73.4,23,0,20.8,AR,1603306589
303,Nichinan,31.6,131.37,68,77,100,8.01,JP,1603306590
304,Te Anau,-45.42,167.72,39.43,84,89,1.1,NZ,1603306590
305,Klaksvík,62.23,-6.59,37.4,86,47,6.93,FO,1603306590
306,Tres Arroyos,-38.37,-60.28,63.59,39,0,16.35,AR,1603306590
307,Gondal,21.97,70.8,81.9,71,35,7.72,IN,1603306590
308,Longyearbyen,78.22,15.64,17.6,78,20,8.05,SJ,1603306591
309,Santa Cruz de la Sierra,-17.8,-63.17,90.66,41,89,3.87,BO,1603306358
310,Sambava,-14.27,50.17,75.15,79,90,14.76,MG,1603306448
311,Ust'-Uda,54.17,103.03,30.56,95,12,3.96,RU,1603306591
312,Linjiang,41.81,126.91,41.29,81,93,2.1,CN,1603306591
313,Sinjār,36.32,41.88,72.16,26,0,7.47,IQ,1603306592
314,Bhinga,27.72,81.93,73.44,62,40,3.02,IN,1603306592
315,Ketchikan,55.34,-131.65,42.8,75,1,9.17,US,1603306361
316,Tulun,54.56,100.58,31.77,94,79,5.84,RU,1603306592
317,Shingū,33.73,135.98,63.32,88,99,11.41,JP,1603306592
318,Bandarbeyla,9.49,50.81,80.71,68,2,1.01,SO,1603306593
319,Pimentel,-6.84,-79.93,73.4,60,99,19.46,PE,1603306593
320,Pisco,-13.7,-76.22,71.6,60,1,8.05,PE,1603306593
321,Abu Kamal,34.45,40.92,73.44,26,0,5.66,SY,1603306593
322,Huarmey,-10.07,-78.15,70.68,65,7,11.43,PE,1603306593
323,Troitsko-Pechorsk,62.71,56.2,27.64,95,100,6.33,RU,1603306594
324,Yangi Marg`ilon,40.43,71.72,53.6,46,34,4.7,UZ,1603306296
